"","Year","State","type","production","Measures","Avg","Chemical","Materials","Value"
"23",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (POTASSIUM BICARBON. = 73508)",11300
"24",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (PROPICONAZOLE = 122101)",1600
"25",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (PYRACLOSTROBIN = 99100)",7400
"26",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (PYRIMETHANIL = 288201)",9300
"27",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (QUINOLINE = 55459)",4800
"28",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (SULFUR = 77501)",686000
"29",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (TETRACONAZOLE = 120603)",600
"30",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (THIOPHANATE-METHYL = 102001)",3300
"31",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (THIRAM = 79801)",90900
"32",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (TRIFLOXYSTROBIN = 129112)",4200
"33",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (TRIFLUMIZOLE = 128879)",7200
"34",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  HERBICIDE"," (CARFENTRAZONE-ETHYL = 128712)",200
"35",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  HERBICIDE"," (FLUMIOXAZIN = 129034)",1100
"36",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  HERBICIDE"," (OXYFLUORFEN = 111601)",1300
"37",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  HERBICIDE"," (PENDIMETHALIN = 108501)",5500
"38",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (ABAMECTIN = 122804)",500
"39",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (ACEQUINOCYL = 6329)",5400
"40",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (ACETAMIPRID = 99050)",2800
"41",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (AZADIRACHTIN = 121701)",800
"42",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (BIFENAZATE = 586)",17900
"43",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (BIFENTHRIN = 128825)",7300
"44",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (CHLORANTRANILIPROLE = 90100)",1900
"45",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (CYANTRANILIPROLE = 90098)",900
"46",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (CYFLUMETOFEN = 138831)",5200
"47",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (ETOXAZOLE = 107091)",1200
"48",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (FENPROPATHRIN = 127901)",6000
"49",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (FENPYROXIMATE = 129131)",400
"50",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (FLONICAMID = 128016)",3300
"51",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (FLUPYRADIFURONE = 122304)",4800
"52",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (HEXYTHIAZOX = 128849)",2300
"53",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (IMIDACLOPRID = 129099)",3500
"54",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (MALATHION = 57701)",56700
"55",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (METHOXYFENOZIDE = 121027)",3300
"56",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (NALED = 34401)",12700
"57",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (NEEM OIL = 25006)",1100
"58",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (NEEM OIL, CLAR. HYD. = 25007)",51600
"59",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (NOVALURON = 124002)",4600
"60",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (PIPERONYL BUTOXIDE = 67501)",1200
"61",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (PYRETHRINS = 69001)",200
"62",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (PYRIPROXYFEN = 129032)",100
"63",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (SPINETORAM = 110007)",2300
"64",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (SPINOSAD = 110003)",600
"65",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (SPIROMESIFEN = 24875)",1800
"66",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (SULFOXAFLOR = 5210)",1000
"67",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  INSECTICIDE"," (THIAMETHOXAM = 60109)",1400
"68",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (CHLOROPICRIN = 81501)",6146600
"69",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (DICHLOROPROPENE = 29001)",1045700
"70",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (FLUTRIAFOL = 128940)",1700
"71",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (IRON PHOSPHATE = 34903)",100
"72",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (METAM-POTASSIUM = 39002)",254000
"73",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (METAM-SODIUM = 39003)",244000
"74",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  OTHER"," (REYNOUTRIA SACHALINE = 55809)",600
"75",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  "," (NITROGEN)",668000
"76",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  "," (PHOSPHATE)",493000
"77",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  "," (POTASH)",430000
"78",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  "," (SULFUR)",57000
"79",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (AZOXYSTROBIN = 128810)",0.205
"80",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (BLAD = 30006)",0.482
"81",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (BORAX DECAHYDRATE = 11102)",0.023
"82",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (BOSCALID = 128008)",0.337
"83",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (CAPTAN = 81301)",1.739
"84",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (CYFLUFENAMID = 555550)",0.023
"85",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (CYPRODINIL = 288202)",0.32
"86",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (DIFENOCONAZOLE = 128847)",0.114
"87",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (FENHEXAMID = 90209)",0.623
"88",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (FLUDIOXONIL = 71503)",0.213
"89",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (FLUOPYRAM = 80302)",0.113
"90",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (FLUXAPYROXAD = 138009)",0.168
"91",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (FOSETYL-AL = 123301)",3.997
"92",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (MEFENOXAM = 113502)",0.493
"93",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (MYCLOBUTANIL = 128857)",0.106
"94",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (PENTHIOPYRAD = 90112)",0.303
"95",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (POLYOXIN D ZINC SALT = 230000)",0.073
"96",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (POTASSIUM BICARBON. = 73508)",2.381
"97",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (PROPICONAZOLE = 122101)",0.112
"98",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (PYRACLOSTROBIN = 99100)",0.169
"99",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (PYRIMETHANIL = 288201)",0.51
"100",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (QUINOLINE = 55459)",0.097
"101",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (SULFUR = 77501)",3.656
"102",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (TETRACONAZOLE = 120603)",0.039
"103",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (THIOPHANATE-METHYL = 102001)",0.669
"104",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (THIRAM = 79801)",2.219
"105",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (TRIFLOXYSTROBIN = 129112)",0.113
"106",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  FUNGICIDE"," (TRIFLUMIZOLE = 128879)",0.23
"107",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  HERBICIDE"," (CARFENTRAZONE-ETHYL = 128712)",0.024
"108",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  HERBICIDE"," (FLUMIOXAZIN = 129034)",0.089
"109",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  HERBICIDE"," (OXYFLUORFEN = 111601)",0.313
"110",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  HERBICIDE"," (PENDIMETHALIN = 108501)",1.202
"111",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (ABAMECTIN = 122804)",0.019
"112",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (ACEQUINOCYL = 6329)",0.297
"113",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (ACETAMIPRID = 99050)",0.126
"114",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (AZADIRACHTIN = 121701)",0.034
"115",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (BIFENAZATE = 586)",0.496
"116",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (BIFENTHRIN = 128825)",0.109
"117",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (CHLORANTRANILIPROLE = 90100)",0.067
"118",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (CYANTRANILIPROLE = 90098)",0.111
"119",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (CYFLUMETOFEN = 138831)",0.178
"120",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (ETOXAZOLE = 107091)",0.135
"121",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (FENPROPATHRIN = 127901)",0.286
"122",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (FENPYROXIMATE = 129131)",0.103
"123",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (FLONICAMID = 128016)",0.085
"124",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (FLUPYRADIFURONE = 122304)",0.158
"125",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (HEXYTHIAZOX = 128849)",0.177
"126",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (IMIDACLOPRID = 129099)",0.515
"127",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (MALATHION = 57701)",1.991
"128",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (METHOXYFENOZIDE = 121027)",0.174
"129",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (NALED = 34401)",0.904
"130",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (NEEM OIL = 25006)",0.095
"131",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (NEEM OIL, CLAR. HYD. = 25007)",5.151
"132",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (NOVALURON = 124002)",0.059
"133",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (PIPERONYL BUTOXIDE = 67501)",0.478
"134",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (PYRETHRINS = 69001)",0.044
"135",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (PYRIPROXYFEN = 129032)",0.067
"136",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (SPINETORAM = 110007)",0.068
"137",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (SPINOSAD = 110003)",0.093
"138",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (SPIROMESIFEN = 24875)",0.243
"139",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (SULFOXAFLOR = 5210)",0.069
"140",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  INSECTICIDE"," (THIAMETHOXAM = 60109)",0.062
"141",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (CHLOROPICRIN = 81501)",244.066
"142",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (DICHLOROPROPENE = 29001)",83.557
"143",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (FLUTRIAFOL = 128940)",0.112
"144",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (IRON PHOSPHATE = 34903)",0.161
"145",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (METAM-POTASSIUM = 39002)",214.011
"146",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (METAM-SODIUM = 39003)",228.063
"147",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  OTHER"," (REYNOUTRIA SACHALINE = 55809)",0.191
"148",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  "," (NITROGEN)",6
"149",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  "," (PHOSPHATE)",8
"150",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  "," (POTASH)",5
"151",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION"," AVG","  "," (SULFUR)",2
"152",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (AZOXYSTROBIN = 128810)",0.447
"153",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (BLAD = 30006)",0.54
"154",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (BORAX DECAHYDRATE = 11102)",0.051
"155",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (BOSCALID = 128008)",0.508
"156",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (CAPTAN = 81301)",10.456
"157",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (CYFLUFENAMID = 555550)",0.034
"158",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (CYPRODINIL = 288202)",0.765
"159",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (DIFENOCONAZOLE = 128847)",0.25
"160",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (FENHEXAMID = 90209)",1.163
"161",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (FLUDIOXONIL = 71503)",0.51
"162",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (FLUOPYRAM = 80302)",0.224
"163",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (FLUXAPYROXAD = 138009)",0.361
"164",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (FOSETYL-AL = 123301)",18.136
"165",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (MEFENOXAM = 113502)",1.215
"166",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (MYCLOBUTANIL = 128857)",0.281
"167",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (PENTHIOPYRAD = 90112)",0.625
"168",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (POLYOXIN D ZINC SALT = 230000)",0.149
"169",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (POTASSIUM BICARBON. = 73508)",2.908
"170",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB / ACRE / YEAR"," AVG","  FUNGICIDE"," (PROPICONAZOLE = 122101)",0.174
